Scheme_name,Ministry,Description,Eligibility,Benefits,Document_Required,Official_link
PM YASASVI (PM Young Achievers Scholarship Award Scheme for Vibrant India),Ministry of Social Justice and Empowerment,"A scholarship scheme designed to provide financial assistance to students belonging to Other Backward Classes (OBC), Economically Backward Classes (EBC), and De-Notified Tribes (DNT) for pursuing higher education.","OBC, EBC, and DNT students studying in Class 9 or 11 in identified top schools. The parents' annual income should not exceed Rs. 2.5 Lakhs.","Full tuition fees and non-refundable charges are covered. The scheme provides up to Rs. 2,00,000 per annum for private sector institutions and up to Rs. 3,72,000 annually for specific elite institutions.","Aadhar Card, Income Certificate, Caste Certificate, and School Identity Card.",https://scholarships.gov.in
Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0),Ministry of Skill Development and Entrepreneurship,A flagship skill certification scheme aimed at enabling Indian youth to take up industry-relevant skill training to help them secure better livelihoods.,"Any Indian national possessing a valid Aadhar, aged between 15 and 45 years. It targets school/college dropouts, unemployed youth, and individuals looking to upskill.",Free short-duration skill training courses (ranging from 300 to 600 hours) with On-the-Job Training (OJT) components and official certification upon completion.,"Aadhar Card, Educational Certificates, and Passport-size photographs.",https://www.pmkvyproject.org
PM Vishwakarma Yojana,"Ministry of Micro, Small and Medium Enterprises (MSME)","A central sector scheme providing end-to-end support to traditional artisans and craftspeople (like carpenters, blacksmiths, goldsmiths) to scale their businesses.",Artisans and craftspeople engaged in traditional trades at the unorganized sector level. The beneficiary must be at least 18 years old.,"Collateral-free credit, free skill training, advanced modern tools, incentives for digital transactions, and market linkage support.","Aadhar Card, Mobile Number (Aadhar linked), Bank Account Details, and Ration Card.",https://pmvishwakarma.gov.in
PM SVANidhi,Ministry of Housing and Urban Affairs,A special micro-credit facility to provide affordable working capital loans to street vendors to resume their livelihoods post-pandemic.,"Street vendors who have been operating their businesses in urban areas prior to March 24, 2020.","Collateral-free working capital loans starting at Rs. 15,000 (1st Tranche), Rs. 25,000 (2nd Tranche), and Rs. 50,000 (3rd Tranche) with interest subsidies for timely repayments.","Aadhar Card, Voter ID (or driving license), Certificate of Vending/Identity Card issued by Urban Local Bodies.",https://pmsvanidhi.mohua.gov.in
Pradhan Mantri Jan Dhan Yojana (PMJDY),Ministry of Finance,"A national mission for financial inclusion to ensure access to financial services like basic savings accounts, remittances, credit, insurance, and pension in an affordable manner.",Any Indian citizen who does not have any other existing bank account. Minors above 10 years can also open accounts.,"A zero-balance bank account, a free RuPay debit card, an inbuilt accident insurance cover of Rs. 2 Lakh, and an overdraft facility of up to Rs. 10,000.","Aadhar Card (or any valid officially valid document like Voter ID, PAN, MGNREGA card).",https://pmjdy.gov.in
Startup India Seed Fund Scheme,Ministry of Commerce and Industry,"Provides financial assistance to startups for proof of concept, prototype development, product trials, market entry, and commercialization.","Startups recognized by DPIIT, incorporated not more than 2 years ago at the time of application, and offering a tech-based innovative solution.","Seed funding up to Rs. 20 Lakhs for validation/proof of concept, and up to Rs. 50 Lakhs for market entry and scaling.","Seed funding up to Rs. 20 Lakhs for validation/proof of concept, and up to Rs. 50 Lakhs for market entry and scaling.",https://seedfund.startupindia.gov.in
Agnipath Scheme,Ministry of Defence,"A pan-India, short-term recruitment scheme for Indian youth to serve in the Armed Forces as ""Agniveers"".","Indian citizens between the ages of 17.5 and 21 years (educational criteria varies based on specific trades, mostly 10th or 12th pass).","A 4-year tenure in the Armed Forces with a customized monthly package, plus a one-time 'Seva Nidhi' package of approximately Rs. 11.71 Lakhs upon completion. 25% of Agniveers will be enrolled in the regular cadre.","Aadhar Card, Class 10/12 Marksheets, Domicile Certificate, and Medical Fitness Certificate.",https://www.joinindianarmy.nic.in
PM POSHAN (Pradhan Mantri Poshan Shakti Nirman),Ministry of Education,Provides hot cooked meals to school children to improve their nutritional status and encourage school enrollment and attendance.,"All children studying in Classes 1 to 8 in Government and Government-aided schools, as well as Balvatikas (pre-primary classes).",One hot cooked nutritious meal every school day for eligible children.,School Enrollment (No specific documents needed from children for the meal itself).,https://pmposhan-ams.education.gov.in
IGNOAPS (Under National Social Assistance Programme),Ministry of Rural Development,A non-contributory pension scheme that provides social security to elderly citizens living below the poverty line.,The applicant must be 60 years or higher and must belong to a Below Poverty Line (BPL) household.,"A monthly pension of Rs. 200 for those aged 60-79 years, and Rs. 500 for those aged 80 years and above. (States often add their own contribution to this amount).","Aadhar Card, Age Proof, BPL Ration Card, and Bank Account Details.",https://nsap.dord.gov.in
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Ministry of Finance,"A highly accessible, one-year life insurance scheme renewable from year to year, offering coverage for death due to any reason.",Individuals in the age group of 18 to 50 years having a savings bank or post office account.,"A life cover of Rs. 2 Lakhs payable to the nominee in case of the subscriber's death, at a minimal premium of just Rs. 436 per annum.",Aadhar Card and an Active Bank Account with auto-debit consent.,https://jansuraksha.in
PRAGATI Scholarship Scheme,Ministry of Education (AICTE),A scholarship scheme designed to empower young women by providing them financial assistance to pursue technical education (Degree or Diploma).,Up to two girls per family. The applicant must be admitted to the first or second year of a technical degree/diploma program at an AICTE-approved institution. Family income must be less than Rs. 8 Lakhs per annum.,"A scholarship of Rs. 50,000 per annum for every year of study to cover tuition, books, and equipment.","Aadhar Card, 10th/12th Marksheets, Income Certificate, and Admission Letter.",https://www.aicte-india.org
KIRAN (Knowledge Involvement in Research Advancement through Nurturing),Ministry of Science and Technology,"Encourages women in the field of Science and Technology, specifically providing opportunities for women scientists who had a break in their careers to return to research.",Women scientists and technologists between the ages of 27 and 57 years who have a break in their career and wish to return to mainstream science.,"Monthly stipends ranging from Rs. 31,000 to Rs. 55,000 and research grants for pursuing projects in applied sciences, engineering, and agriculture.","Post-Graduate/Ph.D. Degrees, Aadhar Card, and a detailed Project Proposal.",https://dst.gov.in
National Apprenticeship Training Scheme (NATS),Ministry of Education,"A program providing skill training to fresh graduates, diploma holders, and vocational certificate holders in engineering and non-engineering fields.","Indian citizens holding a Degree/Diploma in Engineering or Technology, or a BA/BSc/BCom degree, passed out within the last 3-5 years.","1-year practical on-the-job training at reputed organizations with a guaranteed monthly stipend (Rs. 8,000 to Rs. 9,000) paid partially by the government.","Aadhar Card, Degree/Diploma Certificates, Bank Account Details, and Passport-size photo.",https://nats.education.gov.in
Pradhan Mantri Fasal Bima Yojana (PMFBY),Ministry of Agriculture and Farmers Welfare,"A comprehensive crop insurance scheme that provides financial support to farmers in the event of crop failure due to natural calamities, pests, or diseases.",All farmers (including sharecroppers and tenant farmers) growing notified crops in notified areas.,"Maximum insurance coverage at minimum premium rates (1.5% to 2% for Kharif/Rabi crops, 5% for commercial/horticultural crops).","Aadhar Card, Land Records (Khatauni), Bank Passbook, and Sowing Certificate.",https://pmfby.gov.in
Ayushman Bharat Digital Mission (ABDM),Ayushman Bharat Digital Mission (ABDM),"A digital health initiative to create a seamless online platform integrating digital health records, registries of providers, and health facilities.",Any Indian citizen can voluntarily participate and create their ABHA (Ayushman Bharat Health Account) number.,"Citizens get a 14-digit ABHA number to digitally store and share their medical records, prescriptions, and diagnostic reports securely with doctors and hospitals nationwide.",Aadhar Card or Mobile Number.,https://abdm.gov.in
PM-WANI,Ministry of Communications (DoT),A framework to elevate wireless internet connectivity in the country by setting up public Wi-Fi networks through Public Data Offices (PDOs).,Open to all citizens for usage. (Local shopkeepers and small businesses can become PDOs without any license fee).,"Citizens get access to high-speed, affordable internet in public spaces. PDOs get an additional source of income by selling internet data.",PM-WANI App installation (for users).,https://pmwani.gov.in
Mahila Samman Savings Certificate,Ministry of Finance,A one-time small savings scheme specifically for women and girls to encourage investments and financial independence.,"Can be opened by any woman for herself, or by a guardian on behalf of a minor girl.",Offers a fixed interest rate of 7.5% per annum compounded quarterly for a maximum tenure of 2 years. Maximum deposit allowed is Rs. 2 Lakhs.,"Aadhar Card, PAN Card, and KYC form at a Post Office or Bank.",https://www.indiapost.gov.in
DDU-GKY,Ministry of Rural Development,A placement-linked skill development program aimed at transforming rural poor youth into an economically independent and globally relevant workforce.,Rural youth belonging to poor families (BPL/MGNREGA workers' households) between the ages of 15 and 35 years.,"Free skill training, free lodging/boarding, uniforms, and guaranteed placement assistance with a minimum wage post-training.","Aadhar Card, BPL Card/Income Proof, and Educational Certificates.",http://ddugky.info
Kisan Credit Card (KCC),Ministry of Finance / Ministry of Agriculture,Provides farmers with timely and adequate credit support from the banking system under a single window with flexible and simplified procedures.,"All farmers (individuals/joint borrowers), tenant farmers, and Self Help Groups (SHGs) involved in agriculture, fisheries, and animal husbandry.","Short-term credit limits to meet agricultural expenses, post-harvest expenses, and consumption requirements at highly subsidized interest rates (often effectively 4% with prompt repayment).","Aadhar Card, Land holding documents, and Passport-size photo.",https://sbi.bank.in
Swachh Bharat Mission (Gramin),Ministry of Jal Shakti,A national campaign to eliminate open defecation and improve solid and liquid waste management in rural areas.,"BPL households and identified Above Poverty Line (APL) households restricted to SCs/STs, small and marginal farmers, landless laborers, and women-headed households.","Financial incentive of Rs. 12,000 for the construction of Individual Household Latrines (IHHL).","Financial incentive of Rs. 12,000 for the construction of Individual Household Latrines (IHHL).",https://swachhbharatmission.ddws.gov.in
Sovereign Gold Bond Scheme (SGB),Ministry of Finance / RBI,"Government securities denominated in grams of gold, offering an alternative to holding physical gold, paying a fixed interest rate.","Resident individuals, Hindu Undivided Families (HUFs), trusts, universities, and charitable institutions.","Resident individuals, Hindu Undivided Families (HUFs), trusts, universities, and charitable institutions.","PAN Card (Mandatory), Aadhar Card, and Bank Account.",https://www.rbi.org.in
Post Matric Scholarship for Minorities,Ministry of Minority Affairs,Provides financial assistance to meritorious students belonging to minority communities to pursue higher education from Class 11 up to Ph.D. level.,"Students from minority communities (Muslim, Christian, Sikh, Buddhist, Jain, Parsi) with at least 50% marks in the previous final exam. Family income must not exceed Rs. 2 Lakhs per annum.","Covers admission and tuition fees, plus a maintenance allowance (ranging from Rs. 380 to Rs. 1,200 per month depending on the course and hosteler status).","Aadhar Card, Previous Marksheets, Income Certificate, and Community Certificate.",https://scholarships.gov.in
Deendayal Antyodaya Yojana - NRLM,Ministry of Rural Development,"A poverty alleviation project aimed at creating effective institutional platforms for the rural poor, enabling them to increase household income through sustainable livelihood enhancements.","Rural poor women, primarily mobilized into Self Help Groups (SHGs). At least one woman member from each identified rural poor household.","Provides revolving funds, community investment support funds, and bank linkages to SHGs to start micro-enterprises and escape poverty.","BPL Status / SECC 2011 Database inclusion, Aadhar Card, and Bank Account (for the SHG).",https://aajeevika.gov.in/
Digital India Bhashini,Ministry of Electronics and Information Technology (MeitY),An AI-driven language translation platform to bridge the language barrier in India by providing digital services and voice-based internet access in local Indian languages.,"Open to all citizens. Tech developers and startups can access its APIs, and citizens can contribute local language data (Bhasha Daan).","Seamless translation of documents and websites, and voice-to-voice translation in real-time for digital empowerment.",No specific documents required for usage.,https://bhashini.gov.in
Make in India,Ministry of Commerce and Industry,"A major national program designed to facilitate investment, foster innovation, enhance skill development, and build best-in-class manufacturing infrastructure in the country.","Domestic and foreign manufacturing companies, startups, and entrepreneurs across 27 identified sectors (e.g., aerospace, IT, auto).","Tax incentives, eased foreign direct investment (FDI) norms, intellectual property protection, and Production Linked Incentives (PLI) for scaling manufacturing.","Company Incorporation Certificate, DPIIT Recognition (for startups), and sector-specific project proposals.",https://www.makeinindia.com
